Review_Index,Restaurant,Reviewer,Teencode_Found,Original_Comment
20,Ông Mập BBQ - CN Sư Vạn Hạnh,Tiên Nguyễn,"dùm, trc","giá hơi cao, đồ ăn cũng không gì đặc sắc, thấy review tiktok khen da heo nhiều nên mình cũng order ăn thử, da heo dai dai, chấm với bột đậu nành , ăn cũng không có gì đặc biệt, đi 2 người ăn sẽ rất ngán, nếu đi đông thì đỡ hơn, mì lạnh dở lắm nha, chua lắm, hơi bị khó ăn luôn, hồi trc mình ăn ở bên hàn hơi bị nghiền món mì lạnh, mà ở đây thì chê nha, phục vụ nhanh, nướng dùm từ a đến á, quán cực kì vắng, mình đi giờ cao điểm mà chỉ có 2-3 bàn ở dưới tầng trệt"
21,Ông Mập BBQ - CN Sư Vạn Hạnh,quang minh vu,"thix, nhìu, nhưg, mìh","có nhân viên nước cho, 1110đ ko cần nói nhìu, đồ ăn ngon, panchan ngon, nhìu loại, đặc biệt là chả cá, mìh ko thix chả cá hàn, nhưg bên này thì ngon nha"
22,Ông Mập BBQ - CN Sư Vạn Hạnh,Nguyen Tuan Anh,hỗ,"quán nằm gần van hanh mall, không gian quán nhỏ nhưng vẫn có những khu vực dành cho nhóm bạn bè, hoặc gia đình hơn 10 người, trang trí có những gõ xinh để chụp hình, về món ăn thuần các món nướng, vị tẩm ướp mình và mn trong gia đình cảm nhận vừa miệng, các món chiên xù hoặc sốt cũng vừa vị các bé ăn cũng khen, nhân viên rất nhiệt tình và hỗ trợ lên món cũng như nướng cho khách, lễ phép, một địa điểm đáng thử nếu bạn muốn ăn các món nướng hàn quốc"
24,Ông Mập BBQ - CN Sư Vạn Hạnh,Yên Bảo Nguyễn,rãi,"quán nhìn bên ngoài khá nhỏ nhưng bên trong không gian quán ấm cúng, có nhiều tầng nên cũng rộng rãi, món ăn khá ok, có nhiều topping cho mn lựa chọn ăn kèm, kim chi đặt biệt ngon, không quá chua rất vừa vị, món ngon nhất theo mình đánh giá là da heo nướng, da mềm, không quá dai, các món khác cũng rất ngon, team mình đi 10 người bill 2,3tr ăn bao no"
25,Ông Mập BBQ - CN Sư Vạn Hạnh,Ngan Tran Nguyen Bao,"luônn, dùm","thịt siêu ngon, da heo giòn giòn ăn đã lắm luôn, nhân viên siêu nhiệt tình, mình thích đi ăn mà có người nướng dùm lắm luônn, chắc chắn có dịp là sẽ quay lại"
26,Ông Mập BBQ - CN Sư Vạn Hạnh,Trần Huỳnh Bích Nhi,nhàng,"đồ ăn ngon, banchan nhiều, nhân viên nhiệt tình, dễ thương, nhẹ nhàng, mình ăn ở đây lần thứ 2 và cảm thấy rất hài lòng"
27,Ông Mập BBQ - CN Sư Vạn Hạnh,Josephine,nhiên,"đồ ăn được nhiên viên tự tay nướng, nước chấm ngon, vừa ăn, banchan và rau được refill, không cần đặt bàn trước vì quán không đông lắm, với set thịt heo cho hai người mình ăn vừa đủ nhưng giá hơi cao"
36,Ông Mập BBQ - CN Sư Vạn Hạnh,Truc Le,nhaa,"nhà hàng lên món nhanh chóng, các loại thịt đều ngon đặc biệt nọng, da heo ngon lắm luôn mọi người nên gọi nhe, nhân viên phục vụ tận tình dễ thương và cực kỳ nhanh gọn luôn, siêu recommend cho nhóm bạn đi ăn nhaa"
37,Ông Mập BBQ - CN Sư Vạn Hạnh,Bích Viên,nhiên,"quán đồ ăn tui thấy ngon nha, giá cao chất lượng tốt, tuy nhiên có điểm cần khắc phục là ống hút khói yếu quá ăn mà khói cay cả mắt, à quán giá cũng cao so với mặt bằng chung ý thì nên có thêm bao vệ canh xe nha, ăn về mất cái nón mũ hiểm chán dễ sợ"
38,Ông Mập BBQ - CN Sư Vạn Hạnh,Vani Phan,"hssv, nhiên","đắt nha, chưa tới 3 lạng bò 3-400k ăn phải tầm tiền triệu đổ lên mới no được í, tuy nhiên bò mềm, banchan nhiều là điểm cộng, ai không quan tâm đến giá tiền thì có thể ghé ạ, chất lượng cx ổn, mình thì không, mình thấy không đáng tiền lắm =))), hssv xin hãy tránh xa, chống viêm màng túi"
39,Ông Mập BBQ - CN Sư Vạn Hạnh,minh phạm,"lun, rãi","không gian rộng rãi, nhân viên siêu nhiệt tình, banchan ê hề, đồ ăn siêu ngon lun nha, rcm cho cả nhà nha"
40,Ông Mập BBQ - CN Sư Vạn Hạnh,Tien Tanya,việt,"mình thích ăn ông mập bbq vì có điều chỉnh để phù hợp khẩu vị người việt nam, thịt tẩm ướp ngon, sốt chấm ngon, da heo nướng ăn không ngấy mà rất ghiền (bên hq mình từng ăn da heo nướng rồi nhưng khá ngấy), canh kimchi vừa miệng và có sườn bên trong, đồ ăn kèm đa dạng, có thể xin thêm khi hết giữ xe ô tô ở vạn hạnh mall và đi bộ đến, quán có chỗ giữ xe đằng trước nhưng khá nhỏ nhân viên phục vụ nhiệt tình, đứng tại bàn nướng cho khách"
41,Ông Mập BBQ - CN Sư Vạn Hạnh,Dung Thùy,rãi,"thấy chi nhánh mới bên q10 thuộc chuỗi nhà hàng ông mập bbq nên đi thử nè, thịt nướng vẫn siêu ngon cùng với panchan refill thoải mái, quán mới mở nên chưa đông nghịt như mấy chi nhánh khác, nhân viên có thời gian để ý khách hơn, nướng tận bàn và để ý xem mình cần gì để phục vụ liền, quán rộng rãi dễ thương hơn nữa"
44,Ông Mập BBQ - CN Sư Vạn Hạnh,Diễm Quỳnh,"luônn, ngonn","đồ ăn ngonn, da heo đỉnh lắm luônn - try best cười_tủm_tỉm , các bạn nhân viên thân thiện phục vụ tận tình lắm luôn"
45,Ông Mập BBQ - CN Sư Vạn Hạnh,Thanh Trần,mng,"quán đồ ăn ngon, nhân viên phục vụ take care rất ok, must try nha mng"
49,Ông Mập BBQ - CN Sư Vạn Hạnh,Tạ Tiểu Ngân,kh,"khu vực đỗ xe và không gian hơi bé nhưng ấm cúng, đồ ăn chất lượng và nhân viên take care rất nhiệt tình, 10₫ kh có nhưng ạ"
53,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Khôi Hoàng,recomend,"quán nhỏ trong hẻm q1 chuyên đồ ăn thái, menu đa dạng, nhiều món từ pad, cơm, miến, nướng, 1 món - 2 3 người ăn, giá 2xx - 3xx tuỳ món nhưng vị ko chuẩn thái cho lắm, ăn lần 2 r mà chưa thấy món nào hợp vị để recomend, xôi xoài - xôi hơi sượng, xoài ngọt, nhân viên phục vụ nhiệt tình thân thiện nhanh chóng, không gian nho nhỏ, đi nhóm 3 6ng phù hợp"
56,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Nam Sơn,"lun, acun, ykr, nhìu, btw, rùi","xôi xoài ngon nhất những quán thái ở sg (ykr) mình thích xoài có vị chua nhẹ và không quá chín (giống bên thái), trong khi nhìu quán mình ăn ở sg ít có vị xoài này trừ acun ngoài ra tomyum và thịt nướng ăn khá ngon, rất đậm đà, vừa ăn lunn đổi lại giá khá cao @@ hai người 3 món đã tầm 400k/ng rùi (và chưa no lun hic) btw cũng khá xứng đáng với không gian và dịch vụ tốt sẽ quay lại ha"
57,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Son Luong,chugn,"nghe nói nhiều nhưng ăn không ấn tượng lắm, được mỗi không gian ngồi thoải mái mát mẻ, bày trí cũng bình thường, đồ ăn nêm nếm thấy không thái lắm - pad thái còn không có trứng, món trứng lòng đào chiên thì không dai giòn phần vỏ, nói chugn mỗi món thiếu 1 cái gì đó, quán cũng không gọi là đông nhưng lên món lâu, giá thì cao, nói chung không quay lại"
59,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Là lá la,rùi,"đồ ăn là các món thái, ăn cũng vừa miệng thui, không quá xuất sắc nè nhưng điểm nổi bật là vibes dễ thương, núp hẻm rất là bình yên của quán vị trí ở trung tâm dễ tìm biết tới quán từ 5-6 năm trước rùi, giờ quay lại quán vẫn đông khách du lịch"
62,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Hoàng Oanh Nguyễn Mai,ord,"không gian quán ấm cúng, mở nhạc thái vui vui nhóm ord 3 món lượng đồ ăn nhiều và khá hợp khẩu vị tráng miệng: xôi xoài ngon"
63,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Đông Chris,"hỗ, rãi, nhiên","nhân viên dễ thương, không gian rộng rãi ok, tuy nhiên menu giá khá cao so với chất lượng, lúc trước mình từng ăn vài lần tuy giá cao nhưng chất lượng vẫn còn ổn, lần này quay lại thấy không còn được như trước nữa, giữ xe bên ngoài quán 10k, quán có hỗ trợ 5k nè"
64,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Too,bth,"về thức ăn, ai không ăn cay được nhớ giảm cay lại; ngoài ra, vị không ngon cũng không tệ, ở mức ổn, thích mỗi xôi xoài, view quán bth không có j đặc sắc"
65,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Như Hạnh Võ Phan,rùi,"mình ăn quán thái nhiều rùi, thấy bên đây booking review quá trời nên cũng thử với hy vọng sẽ wow nhưng không! đồ ăn thì bình thường, cảm giác nó bị thường lắm, chua cay như mì gói tự pha, mình đi 2 ng gọi 2 món và 1 nước bill hơn 600k, trong khi những quán thái khác thật sự giá tốt, ngon, phụ vụ đỉnh, ở đây ăn mắc, k ngon còn thu tiền gửi xe 10k buồn_cười ý là thấy kì cục lắm luôn á"
66,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Ngô Chí Tâm,hỗ,"quán decor đẹp, không khí ấm cúng trong ngày mưa, nhân viên rất nhiệt tình hỗ trợ nhóm mình, đồ ăn bắt mắt, ngon miệng, mình sẽ quay lại với ny"
67,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Anh Tran,dth,"đồ ăn ngon nha, không gian đẹp và nhân viên dth"
68,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Nhuận Nguyễn,"hải, nhàng","nhà hàng nằm trong hẻm nhỏ, giữ xe 10k, - nhà hàng cũng nhỏ, khoảng 8 bàn cho nhóm 4 người, - không gian ấm cúng, phù hợp hẹn hò, mỗi bàn có 1 kiểu đèn riêng, - mở nhạc trẻ, nhẹ nhàng, - lên món nhanh, - mình gọi 2 món, gỏi xoài cá trê và miến hải sản súp chua cay, phần ăn cũng nhiều đi ít nên cân nhắc, - mặc dù mình đã dặn ít cay cho phần miến hải sản nhưng vẫn quá cay so với mình, - giá cả hợp lý, - nhân viên dễ thương, lịch sự, - ghế ngồi có nệm êm và tựa lưng, - trang bị giấy ăn cho khách thoải mái, không ép sử dụng khăn giấy ướt, - nhà vệ sinh tạm được, chỗ rửa tay nhỏ quá, hơi khó chịu, - thanh toán chỉ chuyển khoản, không quẹt thẻ, - mình đến lúc 6h tối, khá vắng khách, có nhắn tin để đặt bàn qua zalo nhưng nhà hàng không hồi âm, - nhà hàng đang có chương trình tặng 1 trái dừa tươi cho 1 lượt đánh giá 5 sao trên gg map, nhưng mình công tâm lắm, không dễ dụ đâu cười_lớn 07/09/2025"
69,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Annie Nguyen,somthai,"quán bếp sử dụng học việc là chủ yếu, khách không quá đông nhưng đợi món quá lâu, khi mang món ra cà ri gà thì gà còn sống, cà pháo cũng không chín sống nhăn và đắng ngắt, giá món cũng quá cao so với somthai hoặc một vài nhà hàng ở quận 1, nói chung không nên trải nghiệm ở đây"
71,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Hoài Lê,pv,"đồ ăn ngon, quán ăn sang trọng, nhân viên pv tốt tất cả các món này đều được trình bày đẹp mắt và hấp dẫn, những đánh giá của bạn về đồ ăn ngon, không gian đẹp và nhân viên thân thiện cho thấy đây là một quán ăn chất lượng, đáng để ghé thăm"
72,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Ngọc Hiếu Đào,đc,đồ ăn siêu ngon có thể ăn 1 tuần 7 ngày đc luôn rcm gỏi cá trê 100 điểm
73,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Tuyết Nhi Lê Nguyễn,skinship,"chưa kịp ăn đã phải bỏ về vì thái độ quá tệ! vào order 30p nhân viên nhảy nhảy giỡn giỡn, lâu quá kêu lại hỏi thì mặt mới cười sượng nói bếp đang làm 5-7p nữa có, sau đó hỏi lại bill mình order phải mấy món đó ko :)) là sắp làm xong dữ chưa??? 2 lông mày skinship vì quá bực, trong khi quán cũng chẳng đông khách, đồ thì mắc, giữ xe thì tốn tiền, đường lên cũng chẳng có ai hướng dẫn làm đi nhầm qua 4p bên cạnh, nói chung làm hỏng hết mood đi chơi ngày cuối cùng của năm, nếu có 0 sao là chọn rồi đó ^^ cảm ơn quán đã cho cái trải nghiệm tuyệt vời này"
74,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Kim Hoan,việt,"đồ ăn khá vừa miệng với người việt, khẩu phần to & giá hợp lý, hợp đi nhóm bạn hoặc hẹn hò cũng okie"
75,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Linh Nguyễn Phương,"hải, tiếu, zi, xụp, quảng","cắn quảng cáo trên fb đúng lúc thèm sườn cay đã mang tôi tới đây :))) quán nằm trong ngõ, nhỏ nhắn xinh xắn chill chill, decor xinh, không quá đông người đúng kiểu nơi trốn :3 mình đi 3 người, gọi 1 phần sườn cay, 1 phần heo bằm lá quế, 1 hủ tiếu hải sản, 1 đậu hũ non xốt me, 1 xôi xoài, sườn siêu to, ăn ko quá cay, cay nữa thì ngon ạ, xì xụp xì xụp, hủ tiếu hải sản cũng ngon, không quá cay, đậu hũ non khai vị, và xôi xoài cũng okie lah, nhưng rất rất recommend món sườn và hủ tíu ạ, các bạn nhân viên cũng dễ thương, vui vẻ, lâu lâu đi ăn cùng bạn bè treat day cũng khá thú zi ạ :3"
80,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Bích Tuyền Phan,đẹpp,"quán đẹpp, view cũng chill, đồ ăn chuẩn thái nha mọi ng"
83,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Ka,"ùi, vịi","thơm ngon tròn vịi, quán này quá nổi ùi, đi ăn đông share ra rẻ lắm"
84,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Bảo Ân,ord,"quán nằm hẻm rất nhỏ - mọi người để ý nhen, rất dễ đi lố nè, không gian: - nhỏ nhắn dễ thương, tạo cảm giác dễ chịu, - nhạc mở nhỏ, có thể nói chuyện, phục vụ: tạm được, có chào, có cảm ơn, mình ord 3 ly trà đá thái, dặn 1 ly ít đá, nhưng lúc mang ra thì cả 3 ly đá như nhau - không có ly ít đá, mình mới hỏi bạn phục vụ là ly nào ít đá, thay vì đi bỏ bớt đá ra cho mình hoặc tìm các xử lý, thì bạn lấp liếm bằng cách pick đại 1 ly và bảo đây là ly ít đá, món ăn: không xứng đáng với mức giá, nhóm mình ord 3 món, thì 3 món đều không ngon - theo khẩu vị bọn mình, riêng phần gỏi cá hồi - rất tệ, cá sống không tươi, được cấp đông, lúc ăn thấy bở và còn lạnh ngắt như vừa được rã đông, 299k với khá ít cá, nếu đi để trải nghiệm thì oki nè, nhưng với tầm giá thì còn nhiều sự lựa chọn tốt hơn"
93,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Lam Điền Lê Ngọc,thiệu,"quán này t ăn 3 lần rồi mới review ó, ngon rẻ nha mn, t còn giới thiệu bạn bè ăn nữa, quán ko đông, nhưng luôn có khách á, t hay ăn oẻ quận 1, giữ xe 10k trong hẻm, ng nước ngoài ăn nhiều là biết ngon r á - gỏi cá trê - tôm sống sốt - lẩu tomyum - cơm ruốc - gỏi ốc - pad thái - cơm cua - thịt heo nướng => ăn theo t là ngon nha"
94,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Tín Đỗ,"vk, mênh, hiêp, đep","quan ngon ngồi kê vk đep, aye hiêp e la đinh mênh của a, quán ngon tks aye"
97,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Minh Phượng Nguyễn,gũi,"không gian quán nửa phù hợp cho cả cặp đôi lẫn gia đình, cảm giác rất healing chữa lành luôn nha, món ăn nêm nếm đậm đà và khá phù hợp với những bạn ưa khẩu vị thái nha, nhân viên dễ thương và gần gũi nhiệt tình lắm yêu_thích nếu có dịp chắc chắn quay lại"
98,Ăn Cơm Uống Nước - Thai Bistro & Coffee,Lê Thúy Quyên,nhiên,"quán nằm trong con hẻm nhỏ trên đường pasteur, không gian quán ấm cúng, trang trí dễ thương mình gọi các món như bên dưới thêm 3 nước uống, tổng bill tầm 1300k cá nhân mình thấy món chả cá chiên và nọng heo nướng rất ngon, must try nha mn tuy nhiên, các món còn lại không đặc sắc lắm và hơi nhạt so vs mình, trà dâu hạt chia thì hậu rất chát và nhạt về phục vụ thì ổn ạ => 8/10"
99,Ăn Cơm Uống Nước Garden,Hà Châu Lê,"rãi, iu","trải nghiệm ăn tối của tụi mình ở ăn cơm uống nước rất tuyệt, đồ ăn món nào cũng ngon và nhân viên rất nhiệt tình đáng iu, không gian rộng rãi thoáng mát, phù hợp đi ăn với gia đình bạn bè hoặc casual date, highly recommend"
101,Ăn Cơm Uống Nước Garden,Good Food,chổ,"quán nằm trong một con hẻm nhỏ, tầng một là quán nước, tầng hai là quán ăn, quán có trang trí ổn có nhiều góc sống ảo, mình có đặt bàn trước khi đến, menu quán đa dạng nhưng giá đắt hơn với những chổ khác xíu, dù ngày tết khá đông nhưng mình chờ khá lâu, nhưng bàn đến sau lại có món nước, mình phải hỏi nhân viên nhiều lần, đến món nước cũng làm lâu, đồ ăn thì bình thường không xuất sắc lắm"
102,Ăn Cơm Uống Nước Garden,Kim,"rãi, bth, nhìu, nhàng, hok","quán nằm trong 1 con hẻm trên đường hai bà trưng, trong hẻm có nhiều nhà hàng nên bạn nào đã từng đi nhiều lần sẽ phát hiện ngay, ai lần đầu đi thì chú ý vì đường đông và bảng hiệu đầu hẻm hơi nhỏ phải chú ý quan sát ko là chạy lố mất, gửi xe đầu hẻm, mình hok nhớ có tiền hay free nữa, quán nằm trên tầng 2, không gian yên tĩnh cực kỳ và rộng rãi riêng tư, bạn nào cần đi ăn trong sự yên tĩnh nhẹ nhàng, hẹn hò lãng mạn thì ở đây cũng là lựa chọn hợp lý, giá hơi cao so với món thái nói chung mình hay ăn, khẩu phần cũng hơi nhiều so với bth, tụi mình order nhìu món tưởng ít ai dè ăn ná thở ko hết luôn, nêm nếm nói chung là ổn áp nhen, mình gọi cơm chiên cua hay ghẹ quên òi mà ngon lúm, các bạn nhân viên dễ thương"
103,Ăn Cơm Uống Nước Garden,Quỳnh Đỗ,"đãng, rãi, hbt","biết quán từ hồi mới mở chi nhánh nhỏ xíu trong hẻm pasteur, bên hbt này không gian rộng rãi, thoáng đãng hơn, đồ thái bên này hợp khẩu vị mình, serving mỗi phần cũng khá nhiều, hẹn hò hay gặp bạn bè mình hay ra đây"
104,Ăn Cơm Uống Nước Garden,Minh Ngọc,"hải, yum","quán đồ ăn ngon, tụi mình kêu món soup tom yum hải sản nước dừa vị thanh và hơi chua, gỏi đu đủ ốc bươu lạ mà ngon cay nhẹ, xôi xoài cực ngon, nhân viên dễ thương"
107,Ăn Cơm Uống Nước Garden,Lam Nguyễn,"rãi, satay","thức ăn chuẩn bị nhanh, nhân viên phục vụ dễ thương, nên thử mì mama, còn lại pad thái, gỏi đu đủ, heo satay, đậu hũ cũng ổn, không gian rộng rãi, bố trí các bàn xa nhau, đi nhóm 4-6 người rất phù hợp"
108,Ăn Cơm Uống Nước Garden,Nguyet Tu,rãi,"quán có nhiều options để chọn món, rất đa dạng và hấp dẫn, không gian quán ấm cúng, rộng rãi và có cả không gian ngoài trời, món ra nhanh, đậm vị ăn ngon và rất vừa miệng, nhân viên chu đáo, nhiệt tình, thích hợp cho các cuộc gặp bạn bè, họp mặt gia đình, chắc chắn mình sẽ quay lại"
109,Ăn Cơm Uống Nước Garden,Hòa Hiệp Nguyễn,nhiên,"đồ ăn trang trí bắt mắt, nhưng không quá ngon, ly nước mình gọi gần cả trăm mà nhạt nhẽo như sữa tươi không đường, nhân viên phục vụ chậm chạp, khách tới quán nhưng không mang chén lên liền, còn làm rơi cái vung làm bắn nước tung téo lên áo khách, tuy nhiên ai muốn trải nghiệm không gian và có hình đồ ăn sống ảo thì có thể ghé quán nhé"
112,Ăn Cơm Uống Nước Garden,Vương Thi Nguyễn Thị,rãi,"là một trong những quán thái yêu thích của mình, nằm trong hẻm nhỏ đường hai bà trưng, bên dưới là quán cà phê đá bào concept, không gian cây xanh thoáng mát, rộng rãi, yên tĩnh, đồ ăn ổn, phục vụ ok"
113,Ăn Cơm Uống Nước Garden,Mai Huỳnh Ngọc,rai,"đồ ăn ngon, cay, recommend mì mama siu kay nha, - sao bạn nhân viên, hôm mình đi quán có bưng thiếu 1 li nước, sau bạn mang nước đặt lên bàn khá mạnh như dằn mặt tụi mình vậy :) + đi lần 2: mì siu kay size lớn hình như ít hơn lần đầu đi ăn thì phải, ở đây chủ yếu phục vụ món ăn lớn nhe, ít món lai rai nè"
118,Ăn Cơm Uống Nước Garden,Jenny Hoàng,padthai,"mình cùng bạn đến ăn trưa có gọi 4 món: gỏi xoài cá trê, heo nướng sốt me, padthai tôm trứng, súp gà nấm cốt dừa, + gỏi cá trê còn sót xương nên bạn mình có nuốt trúng và xoài quá quá chua so với những chỗ mình đã ăn nên mình có nhờ bếp đổi phần xoài giùm thì bạn nữ trong bếp nói khá to để tụi mình có thể nghe được là xoài sống thì loại nào cũng chua giờ đổi cũng vậy thôi hài_lòng + heo nướng sốt me ăn ko có gì đặc sắc, ko thơm mùi thịt nướng và bị khô + padthai nhạt và không có vị gì + súp gà nấm là món ngon nhất, nêm rất đậm đà vừa ăn + hai ly nước quýt 70k/ly nhưng hút 1 hơi là hết + bạn nhân viên nam phục vụ bàn mình rất là dễ thương, nói chuyện nhỏ nhẹ, lịch sự, + không gian quán đẹp, thoải mái + đồ ăn 6,5/10 với giá 800k cho 2 người thì chắc là sẽ thử 1 lần rồi thôi"
119,Ăn Cơm Uống Nước Garden,Danh Nguyen,quảng,"quán quảng cáo trên ig là “quán nhậu thái” có rượu thái, đến nơi thì hỏi nhân viên bảo k có rượu, trong menu có để bia chang (60k 1 chai, với mình là đắt) nhưng gọi thì cũng hết, - đồ ăn ra lâu - cá hồi k tươi - cho khách ăn chén mẻ, mình gọi nhân viên lại báo thì nhân viên trả lời “không sao” rồi ngoảnh mặt đi"
120,Ăn Cơm Uống Nước Garden,Kien Cuong Le Van,đc,"quán thái ăn cũng ổn, ko gian đẹp, mát mẽ, quánh giá 5 sao đc 1 trái dừa"
124,Ăn Cơm Uống Nước Garden,Hồng Nhung Lê,hải,"ăn đồ thái ở đây quá nhiều lần suốt từ 2019 đến nay, bạn nào ở đâu tới tôi cũng dẫn đến ăn cơm uống nước, tôi đặc biệt thích gỏi miến hải sản và gỏi xoài cá trê ở đây, lần nào đến cũng order, bạn nào thích thịt thì có heo sốt me và bò sốt me rất ngon, tôi mong quán ko tăng giá để tôi ăn hàng tuần luôn ạ =)) menu nhiều món nhưng tôi hay gọi đi gọi lại món mình thích thôi, trước kia hầu như tuần nào cũng ghé mà đợt này bận nên 1 tháng ghé 1 lần cho đỡ thèm đồ thái"
128,Ăn Cơm Uống Nước Garden,Trương Thục Quỳnh,mng,"quán đẹp, đồ ăn ngon với nhiều món lạ hơn mấy quán thái khác, siu recommend mng đến đây nha"
