N-gram,Tần suất,dịch
đo,17,đo
hotdog,17,hotdog
ân,17,ân
am,17,am
đê,17,đê
cg,17,cg
bmi,17,bmi
baoh,16,baoh
lề,16,lề
trg,16,trg
tòa,16,tòa
ngonn,16,ngonn
smoothie,16,smoothie
takoyaki,16,takoyaki
dĩ,16,dĩ
teriyaki,16,teriyaki
ao,16,ao
zòn,16,zòn
okay,16,okay
nx,16,nữa
fanpage,16,fanpage
đẽ,16,đẽ
deliverynow,16,deliverynow
bla,16,bla
cộ,15,cộ
nilong,15,nilong
ké,15,ké
lu,15,lu
tt,15,tt
li,15,li
hnao,15,hnao
gi,15,gi
dk,15,dk
tú,15,tú
thg,15,thg
hự,15,hự
đt,15,điện thoại
kichi,15,kichi
vch,15,vch
ns,14,nói
thíc,14,thíc
chs,14,chs
sz,14,size
nt,14,nhắn tin
cn,14,chủ nhật
logo,14,logo
nụ,14,nụ
mr,14,mr
họa,14,họa
hokkaido,14,hokkaido
sĩ,14,sĩ
kỷ,14,kỷ
mochi,14,mochi
tnao,14,tnao
wc,14,wc
hix,14,hix
rê,14,rê
buffe,13,buffe
tg,13,tg
pr,13,pr
recommended,13,recommended
lã,13,lã
foodyhanoi,13,foodyhanoi
vp,13,vp
ẻm,13,ẻm
tm,13,tm
sô,13,sô
tn,13,tn
singapore,13,singapore
hả,13,hả
tứ,13,tứ
luônn,13,luônn
nthe,13,nthe
chese,13,chese
vl,13,vl
bigc,13,bigc
hs,13,hs
vnd,13,vnd
mipec,13,mipec
miso,13,miso
has,12,has
sờ,12,sờ
kgian,12,kgian
thuii,12,thuii
pvu,12,pvu
at,12,at
patê,12,patê
anw,12,anw
olong,12,olong
pg,12,pg
upsize,12,upsize
khs,12,khs
sdt,12,sdt
onl,12,onl
cồ,12,cồ
ve,12,ve
yum,12,yum
hambuger,12,hambuger
xù,12,xù
ác,12,ác
sứ,12,sứ
qa,12,quá
rât,12,rât
zalo,11,zalo
recomment,11,recomment
lù,11,lù
cug,11,cug
xơ,11,xơ
jollibee,11,jollibee
okela,11,okela
tơ,11,tơ
dữ,11,dữ
sđt,11,sđt
mí,11,mí
xứ,11,xứ
tempura,11,tempura
insta,11,insta
by,11,by
hủy,11,hủy
hỗ,11,hỗ
tì,11,tì
google,11,google
ớn,11,ớn
coffe,11,coffe
if,11,if
wtf,11,wtf
lớ,11,lớ
tù,11,tù
khôg,11,khôg
lẹ,11,lẹ
hẹ,11,hẹ
ki,11,ki
vuvuzela,11,vuvuzela
hố,11,hố
phômai,11,phômai
wa,10,wa
okinawa,10,okinawa
té,10,té
sn,10,sn
căngtin,10,căngtin
mc,10,mc
naan,10,naan
rũ,10,rũ
ni,10,ni
nch,10,nch
haizz,10,haizz
hehee,10,hehee
sc,10,sc
lọai,10,lọai
zời,10,zời
cử,10,cử
https,10,https
ce,10,ce
gr,10,gr
lavie,10,lavie
ăm,10,ăm
sakura,10,sakura
chops,10,chops
hư,10,hư
gateaux,10,gateaux
ch,10,chưa
mlem,10,mlem
bulgogi,10,bulgogi
machiato,10,machiato
sukem,9,sukem
as,9,as
ktqd,9,ktqd
ký,9,ký
kí,9,kí
cù,9,cù
malaysia,9,malaysia
ashima,9,ashima
iph,9,iph
jn,9,jn
mojito,9,mojito
ks,9,ks
gđ,9,gđ
pepperonis,9,pepperonis
manwah,9,manwah
bm,9,bm
dì,9,dì
croissant,9,croissant
ún,9,ún
ct,9,ct
chago,9,chago
te,9,te
im,9,im
lả,9,lả
vietnamesefood,9,vietnamesefood
tvt,9,tvt
tablenow,9,tablenow
vinmart,9,vinmart
de,9,de
nợ,9,nợ
thit,9,thit
hờ,9,hờ
xu,9,xu
bthuong,9,bthuong
rộ,9,rộ
si,9,si
đep,9,đep
tp,9,tp
tgian,9,tgian
staffs,9,staffs
cgv,8,cgv
ji,8,ji
hô,8,hô
gâteaux,8,gâteaux
cb,8,cb
tous,8,tous
bâyh,8,bâyh
mi,8,mi
hp,8,hp
htrc,8,htrc
huhuu,8,huhuu
buger,8,buger
kong,8,kong
hutong,8,hutong
shiper,8,shiper
tị,8,tị
đẻ,8,đẻ
nguoi,8,nguoi
tã,8,tã
shopee,8,shopee
xệ,8,xệ
tc,8,tc
dishes,8,dishes
caphe,8,caphe
zô,8,zô
carbonara,8,carbonara
vv,8,vv
carot,8,carot
takeaway,8,takeaway
sì,8,sì
mụ,8,mụ
grap,8,grap
isushi,8,isushi
rw,8,rw
th,8,th
nươc,8,nươc
macaron,8,macaron
gelato,8,gelato
xofa,8,xofa
monde,8,monde
fomai,8,fomai
lipton,8,lipton
lư,8,lư
scl,8,scl
baemin,8,baemin
xuka,8,xuka
sú,8,sú
mễ,8,mễ
cungz,8,cungz
rooftop,8,rooftop
cu,8,cu
tq,8,tq
ctrinh,8,ctrinh
ùi,8,ùi
thcs,8,thcs
bjo,8,bây giờ
biêt,8,biêt
bami,8,bami
pasgo,8,pasgo
tivi,8,tivi
dookki,7,dookki
đag,7,đag
ủi,7,ủi
donut,7,donut
dơ,7,dơ
inox,7,inox
okey,7,okey
tộ,7,tộ
frappuccino,7,frappuccino
dv,7,dv
vk,7,vk
bu,7,bu
laptop,7,laptop
ôn,7,ôn
hu,7,hu
úa,7,úa
lg,7,lg
bufet,7,bufet
kombo,7,kombo
nỡ,7,nỡ
seafood,7,seafood
foodie,7,foodie
capuchino,7,capuchino
ktx,7,ktx
tưoi,7,tưoi
cừ,7,cừ
bo,7,bo
đăc,7,đăc
choka,7,choka
mixue,7,mixue
xè,7,xè
tnay,7,tnay
ml,7,ml
tẻ,7,tẻ
thaiexpress,7,thaiexpress
lừ,7,lừ
vu,7,vu
pv,7,phục vụ
kute,7,kute
ấu,7,ấu
vcl,7,vcl
vd,7,vd
hahaa,7,hahaa
gt,7,gt
hú,6,hú
hok,6,không
hssv,6,hssv
ib,6,nhắn tin
vù,6,vù
hotpot,6,hotpot
friends,6,friends
hđ,6,hđ
tá,6,tá
khg,6,không
hmm,6,hmm
hanoifood,6,hanoifood
ipad,6,ipad
hê,6,hê
nhma,6,nhma
shisha,6,shisha
ksan,6,ksan
linhshinichi,6,linhshinichi
foods,6,foods
sà,6,sà
vegan,6,vegan
nổ,6,nổ
kemcheese,6,kemcheese
hichic,6,hichic
goky,6,goky
mocktail,6,mocktail
tira,6,tira
cookies,6,cookies
bb,6,bb
ủa,6,ủa
miếg,6,miếg
yutang,6,yutang
drinks,6,drinks
nchug,6,nchug
chesee,6,chesee
rã,6,rã
cheesse,6,cheesse
thoii,6,thoii
đờ,6,đờ
pnt,6,pnt
rồii,6,rồii
nachos,6,nachos
cuzng,6,cuzng
đươc,6,đươc
ps,6,ps
burrata,6,burrata
zậy,6,vậy
mọ,6,mọ
mih,6,mih
qq,6,qq
lì,6,lì
đăt,6,đăt
places,6,places
bik,6,bik
packaging,6,packaging
cgiac,6,cgiac
maika,6,maika
cgi,6,cgi
ởn,6,ởn
ọp,6,ọp
lỗ,6,lỗ
ẹp,6,ẹp
bg,6,bg
mexico,6,mexico
mớ,6,mớ
chăc,6,chăc
bỉ,6,bỉ
ối,6,ối
phuc,6,phuc
ẩn,6,ẩn
bẻ,6,bẻ
bibimbap,6,bibimbap
pb,6,pb
viet,5,viet
vđ,5,vđ
cỗ,5,cỗ
cọ,5,cọ
óp,5,óp
clg,5,clg
vđề,5,vđề
schua,5,schua
tl,5,tl
ưi,5,ưi
sb,5,sb
nạ,5,nạ
pl,5,pl
cmn,5,cmn
ỏder,5,ỏder
vú,5,vú
hadu,5,hadu
nhòa,5,nhòa
seeding,5,seeding
đn,5,đn
rả,5,rả
vờ,5,vờ
bobapop,5,bobapop
mozzarella,5,mozzarella
ýy,5,ýy
uể,5,uể
vchg,5,vchg
nơ,5,nơ
cở,5,cở
tè,5,tè
thic,5,thích
ới,5,ới
thich,5,thich
maneki,5,maneki
nhât,5,nhât
kẻ,5,kẻ
ctr,5,ctr
piza,5,piza
lị,5,lị
hỏa,5,hỏa
beers,5,beers
goodbye,5,goodbye
btw,5,btw
xl,5,xl
gthieu,5,gthieu
éo,5,éo
ku,5,ku
đọ,5,đọ
lutulata,5,lutulata
xị,5,xị
americano,5,americano
dq,5,dq
vò,5,vò
cappuccino,5,cappuccino
kmai,5,khuyến mãi
al,5,al
okk,5,okk
nu,5,nu
môt,5,môt
bô,5,bô
vinamilk,5,vinamilk
yakult,5,yakult
hnoi,5,hnoi
having,5,having
cali,5,cali
kakao,5,kakao
hicc,5,hicc
hl,5,hl
rỡ,5,rỡ
hk,5,hk
aen,5,aen
yomost,5,yomost
dỗ,5,dỗ
nuong,5,nuong
yogurt,5,yogurt
luk,5,luk
nutella,5,nutella
dò,5,dò
vuvu,5,vuvu
bât,5,bât
served,5,served
jambon,5,jambon
hotto,5,hotto
fastfood,5,fastfood
detox,5,detox
tv,5,tv
đò,4,đò
sasimi,4,sasimi
kẽ,4,kẽ
vnpay,4,vnpay
cc,4,cc
gù,4,gù
đừ,4,đừ
vbb,4,vbb
híc,4,híc
nvay,4,nvay
café,4,café
tandoori,4,tandoori
vo,4,vo
rỉ,4,rỉ
mủ,4,mủ
huhuhu,4,huhuhu
nuớc,4,nuớc
nct,4,nct
hallowen,4,hallowen
tuk,4,tuk
hihii,4,hihii
website,4,website
hjhj,4,hjhj
đú,4,đú
tuoi,4,tuoi
hihe,4,hihe
rơ,4,rơ
chât,4,chât
haidilao,4,haidilao
hjx,4,hjx
vietnam,4,vietnam
hanbok,4,hanbok
choux,4,choux
maian,4,maian
đệ,4,đệ
hbt,4,hbt
gơ,4,gơ
nta,4,nta
hàg,4,hàg
hxhx,4,hxhx
capricciosa,4,capricciosa
thúy,4,thúy
sales,4,sales
chingu,4,chingu
cheddar,4,cheddar
tsao,4,tsao
soju,4,soju
houjicha,4,houjicha
hawaii,4,hawaii
gõ,4,gõ
ntnao,4,ntnao
đuờng,4,đuờng
thôii,4,thôii
vy,4,vy
đỉnk,4,đỉnk
saigon,4,saigon
popeyes,4,popeyes
meiwei,4,meiwei
kt,4,kt
đuoc,4,đuoc
hêt,4,hêt
buffee,4,buffee
humberger,4,humberger
vien,4,vien
gỉ,4,gỉ
vơ,4,vơ
đố,4,đố
tà,4,tà
sach,4,sach
bgio,4,bgio
nể,4,nể
zpizza,4,zpizza
xạ,4,xạ
streetfood,4,streetfood
quáa,4,quáa
jambong,4,jambong
zồi,4,zồi
khach,4,khach
uii,4,uii
sỉ,4,sỉ
án,4,án
pa,4,pa
lnao,4,lnao
quanganh,4,quanganh
nhòe,4,nhòe
atiso,4,atiso
seoul,4,seoul
wf,4,wf
cùg,4,cùg
au,4,au
ói,4,ói
foodlover,4,foodlover
nhéee,4,nhéee
nhée,4,nhée
foodporn,4,foodporn
seems,4,seems
lượg,4,lượg
cvl,4,cvl
indomie,4,indomie
oh,4,oh
ôk,4,ôk
dj,4,dj
oregano,4,oregano
ngol,4,ngol
tỷ,4,tỷ
dí,4,dí
omg,4,omg
reviewfoody,4,reviewfoody
lsau,4,lsau
adayroi,4,adayroi
dề,4,dề
mạ,4,mạ
suat,4,suat
katsu,4,katsu
tỏa,4,tỏa
ribeye,4,ribeye
dừ,4,dừ
teamnhauholic,4,teamnhauholic
tokbukki,4,tokbukki
lozi,4,lozi
duan,4,duan
luon,4,luon
ahuhu,4,ahuhu
okonomiyaki,4,okonomiyaki
ngòai,4,ngòai
jninhanoi,4,jninhanoi
london,4,london
ali,4,ali
alisan,4,alisan
etc,4,etc
amp,4,amp
xỉ,4,xỉ
tokboki,4,tokboki
shopeefood,4,shopeefood
ôlong,4,ôlong
pozaa,4,pozaa
us,4,us
creamcheese,4,creamcheese
obama,4,obama
gardenista,4,gardenista
khóa,4,khóa
sôt,4,sôt
crep,4,crep
lắmm,4,lắmm
bento,4,bento
uốg,4,uốg
moka,4,moka
út,4,út
lộ,4,lộ
lố,4,lố
trk,4,trk
xi,4,xi
igongcha,4,igongcha
gausfood,4,gausfood
mu,4,mu
bọ,4,bọ
beamin,4,beamin
ỏi,4,ỏi
đaay,4,đaay
bann,4,bann
ănn,4,ănn
hở,4,hở
hòe,3,hòe
rasm,3,rasm
ốt,3,ốt
riview,3,riview
sp,3,sản phẩm
beehub,3,beehub
đớ,3,đớ
thpt,3,thpt
sttcdd,3,sttcdd
jour,3,jour
bccb,3,bccb
kfai,3,kfai
miệg,3,miệg
ạaa,3,ạaa
rcm,3,rcm
beverages,3,beverages
khônh,3,khônh
biét,3,biét
viêc,3,viêc
bệ,3,bệ
sopha,3,sopha
kbiet,3,kbiet
ad,3,ad
mm,3,mm
bff,3,bff
reviewnow,3,reviewnow
pz,3,pz
bminh,3,bminh
bả,3,bả
hý,3,hý
nhưnh,3,nhưnh
vit,3,vit
ậm,3,ậm
bnhieu,3,bnhieu
koh,3,koh
bế,3,bế
keke,3,keke
re,3,re
bẹ,3,bẹ
đễ,3,đễ
started,3,started
mộ,3,mộ
hotdeal,3,hotdeal
uóng,3,uóng
nhueng,3,nhueng
kitkool,3,kitkool
bqq,3,bqq
ơr,3,ơr
ipa,3,ipa
vde,3,vde
internet,3,internet
qtam,3,qtam
instafood,3,instafood
um,3,um
qlai,3,qlai
ssm,3,ssm
hx,3,hx
tym,3,tym
puding,3,puding
vibe,3,vibe
ừm,3,ừm
vegla,3,vegla
indo,3,indo
rà,3,rà
mỗ,3,mỗ
banchan,3,banchan
qb,3,qb
vcđ,3,vcđ
asked,3,asked
rt,3,rt
ấyy,3,ấyy
ục,3,ục
ams,3,ams
ạh,3,ạh
andochin,3,andochin
uh,3,ừ
japchae,3,japchae
kidiinhanoi,3,kidiinhanoi
aoen,3,aoen
tuỵet,3,tuỵet
hêhhe,3,hêhhe
hqv,3,hqv
rấ,3,rấ
roti,3,roti
kk,3,kk
mừ,3,mừ
mt,3,mt
aqn,3,aqn
miliket,3,miliket
nk,3,nk
rể,3,rể
mẽ,3,mẽ
italia,3,italia
mị,3,mị
kcg,3,kcg
fa,3,fa
pk,3,pk
offers,3,offers
zách,3,zách
gd,3,gd
gdinh,3,gdinh
sộ,3,sộ
dg,3,dg
gv,3,gv
mancha,3,mancha
thươngf,3,thươngf
gunkan,3,gunkan
makoto,3,makoto
nge,3,nge
đchi,3,đchi
fanta,3,fanta
zị,3,zị
mantu,3,mantu
pieces,3,pieces
gém,3,gém
gạ,3,gạ
vĩ,3,vĩ
taco,3,taco
charmvit,3,charmvit
neu,3,neu
sharetea,3,sharetea
dozo,3,dozo
đè,3,đè
tks,3,tks
vưaf,3,vưaf
gò,3,gò
tips,3,tips
ordee,3,ordee
dokki,3,dokki
đâuu,3,đâuu
cno,3,cno
oy,3,oy
fback,3,fback
đii,3,đii
cớ,3,cớ
điẻm,3,điẻm
òa,3,òa
smoothies,3,smoothies
schannel,3,schannel
nề,3,nề
pesto,3,pesto
xíuu,3,xíuu
ngkhac,3,ngkhac
bỡ,3,bỡ
sml,3,sml
tlj,3,tlj
ngot,3,ngot
panacotta,3,panacotta
lữoi,3,lữoi
lự,3,lự
magie,3,magie
đe,3,đe
chotto,3,chotto
sd,3,sd
churros,3,churros
chuym,3,chuym
xó,3,xó
tqb,3,tqb
cmnl,3,cmnl
nướg,3,nướg
đlm,3,đlm
oimeoi,3,oimeoi
tiktok,3,tiktok
nươcs,3,nươcs
cự,3,cự
timecity,3,timecity
xx,3,xx
pizzas,3,pizzas
pavlova,3,pavlova
canu,3,canu
vons,3,vons
dỡ,3,dỡ
nvs,3,nvs
tiramitsu,3,tiramitsu
freezy,3,freezy
foodstagram,3,foodstagram
seemed,3,seemed
xd,3,xd
vsinh,3,vsinh
nguòi,3,nguòi
yt,3,yt
tteokbokki,3,tteokbokki
cappuchino,3,cappuchino
cv,3,cv
lquan,3,lquan
nhah,3,nhah
ones,3,ones
lf,3,lf
tirant,3,tirant
yihetang,3,yihetang
hg,3,hg
dả,3,dả
ctkm,3,ctkm
caffee,3,caffee
cafes,3,cafes
metro,3,metro
cac,3,cac
nuóng,3,nuóng
hihihi,3,hihihi
bụ,3,bụ
vkck,3,vkck
hcm,3,hcm
vtv,3,vtv
hazenut,3,hazenut
tk,3,tk
cbi,3,cbi
vè,3,vè
thâp,3,thâp
đúg,3,đúg
galbi,3,galbi
okla,3,okla
đac,3,đac
thx,3,thx
cofee,3,cofee
lasagna,3,lasagna
mayonaise,3,mayonaise
lol,3,lol
espresso,3,espresso
ngĩ,3,ngĩ
ktc,3,ktc
luong,3,luong
côg,3,côg
nz,3,nz
thuờng,3,thuờng
yu,3,yu
lozihanoi,3,lozihanoi
vx,3,vx
nhiêù,3,nhiêù
ohi,3,ohi
đươcj,3,đươcj
ecard,3,ecard
hastag,3,hastag
súo,2,súo
lha,2,lha
mổ,2,mổ
tati,2,tati
thanhtatua,2,thanhtatua
liked,2,liked
khoing,2,khoing
sọ,2,sọ
tđn,2,tđn
koo,2,koo
lú,2,lú
măt,2,măt
mùo,2,mùo
tooping,2,tooping
tcd,2,tcd
nhăc,2,nhăc
sạh,2,sạh
tonkatsu,2,tonkatsu
lqs,2,lqs
keangnam,2,keangnam
loship,2,loship
tokpokki,2,tokpokki
ls,2,ls
nhưbg,2,nhưbg
lsao,2,lsao
luac,2,luac
mũ,2,mũ
kcj,2,kcj
toppings,2,toppings
tb,2,tb
ll,2,ll
tetrazzini,2,tetrazzini
sũ,2,sũ
mât,2,mât
ló,2,ló
located,2,located
tobokki,2,tobokki
ngưòi,2,ngưòi
khac,2,khac
luợng,2,luợng
looked,2,looked
tươg,2,tươg
teryaki,2,teryaki
teok,2,teok
tazo,2,tazo
mó,2,mó
luoon,2,luoon
kemm,2,kemm
thaya,2,thaya
nháa,2,nháa
tiêp,2,tiêp
tw,2,tw
tuơi,2,tuơi
mieng,2,mieng
mifnh,2,mifnh
meatplus,2,meatplus
meals,2,meals
ktop,2,ktop
mcdonald,2,mcdonald
tvv,2,tvv
thâyd,2,thâyd
milkfoam,2,milkfoam
marriott,2,marriott
ne,2,ne
milktea,2,milktea
kiot,2,kiot
taiwan,2,taiwan
minhd,2,minhd
minhhien,2,minhhien
kimpap,2,kimpap
nhiêud,2,nhiêud
things,2,things
nchuyen,2,nchuyen
tokyo,2,tokyo
micoem,2,micoem
kl,2,kl
mgg,2,mgg
kom,2,kom
koroke,2,koroke
tako,2,tako
kout,2,kout
nhiềuu,2,nhiềuu
meow,2,meow
suât,2,suât
kodo,2,kodo
kobe,2,kobe
kphai,2,kphai
nhiề,2,nhiề
mentioned,2,mentioned
kpop,2,kpop
kpub,2,kpub
nhiẹt,2,nhiẹt
tuyet,2,tuyet
thuong,2,thuong
nayg,2,nayg
masala,2,masala
kieu,2,kieu
tùe,2,tùe
nhats,2,nhats
khôngg,2,khôngg
moji,2,moji
nhiet,2,nhiet
laca,2,laca
sxuat,2,sxuat
trôg,2,trôg
mokchang,2,mokchang
lands,2,lands
nhee,2,nhee
khâc,2,khâc
missed,2,missed
sôcla,2,sôcla
tiramissu,2,tiramissu
moouse,2,moouse
nhat,2,nhat
tronh,2,tronh
learys,2,learys
nhânn,2,nhânn
leetee,2,leetee
ngoc,2,ngoc
tíh,2,tíh
lứmm,2,lứmm
